no,Wamei,Family_JPN,新リスト学名,Species,APG.family,Class,group,Growthform,EveDec,ALT,Canopy openess,total LA,no of leaves (leaflet),LA mean (leaf let),Scanned leaf DW,Lamina DW,petiole DW,Lamina thickness,Whole leaf LMA,LDMC,LD LMA,TD
89,ナナカマド,バラ,Sorbus commixta Hedl.,Sorbus_commixta,Rosaceae,sp,angiosperm,W,D,1563,80,115.105,15,7.673666667,0.9255,0.9255,0,0.1875,80.40484775,0.415208614,79.57747155,0.424413182
,,,,,,,,,,,,,,,,,,,,,,
90,タンナサワフタギ,ハイノキ,Symplocos coreana (H.Lév.) Ohwi,Symplocos_coreana,Symplocaceae,sp,angiosperm,W,D,1563,90,79.62,10,7.962,0.4988,0.4745,0.0243,0.3185,62.64757599,0.287824582,58.56901906,0.18389017
,,,,,,,,,,,,,,,,,,,,,,
91,スギ,ヒノキ,Cryptomeria japonica (L.f.) D.Don  var. japonica,Cryptomeria_japonica,Cupressaceae,sp,gymnosperm,W,E,1563,100,2.75952381,25,0.110380952,0.0304,0.0304,,0.888,110.1639344,0.318992655,,
,,,,,,,,,,,,,,,,,,,,,,
92,サルトリイバラ,ユリ,Smilax china L.,Smilax_china,Smilacaceae,sp,angiosperm,W,E,1579,80,159.23,7,22.74714286,0.9749,0.9311,0.0438,0.327,61.22589964,0.205242105,56.65915974,0.173269602
,,,,,,,,,,,,,,,,,,,,,,
93,ヤクシマグミ,グミ,Elaeagnus yakusimensis Masam.,Elaeagnus_yakusimensis,Elaeagnaceae,sp,angiosperm,W,D,1579,80,38.524,10,3.8524,0.2457,0.2266,0.0191,0.2495,63.77842384,0.357122093,55.3859202,0.221987656
,,,,,,,,,,,,,,,,,,,,,,
94,アクシバモドキ,ツツジ,Vaccinium yakushimense Makino,Vaccinium_yakushimense,Ericaceae,sp,angiosperm,W,D,1579,40,46.852,12,3.904333333,0.3171,0.3063,0.0108,0.1985,67.68120891,0.38727406,60.47887837,0.304679488
,,,,,,,,,,,,,,,,,,,,,,
95,アセビ,ツツジ,Pieris japonica (Thunb.) D.Don ex G.Don,Pieris_japonica,Ericaceae,sp,angiosperm,W,E,1579,100,38.627,18,2.145944444,0.6957,0.6524,0.0433,0.441,180.1071789,0.479132231,193.5324108,0.438849004
,,,,,,,,,,,,,,,,,,,,,,
96,ヤマボウシ,ミズキ,Cornus kousa Buerger ex Hance,Cornus_kousa,Cornaceae,sp,angiosperm,W,D,1579,100,106.323,6,17.7205,0.6143,0.5961,0.0182,0.173,57.77677455,0.319282744,49.65634224,0.28703088
,,,,,,,,,,,,,,,,,,,,,,
97,リョウブ,リョウブ,Clethra barbinervis Siebold et Zucc.,Clethra_barbinervis,Clethraceae,sp,angiosperm,W,D,1590,100,201.983,7,28.85471429,1.7023,1.5776,0.1247,0.2435,84.27937005,0.357026007,60.47887837,0.248373217
,,,,,,,,,,,,,,,,,,,,,,
98,ヤクシマシャクナゲ,ツツジ,Rhododendron yakushimanum Nakai,Rhododendron_yakusimanum,Ericaceae,sp,angiosperm,W,E,1592,100,147.871,10,14.7871,5.1194,4.548,0.5714,0.656,346.2071671,0.43052729,233.6394565,0.356157708
,,,,,,,,,,,,,,,,,,,,,,
99,ヤマグルマ,ヤマグルマ,Trochodendron aralioides Siebold et Zucc.,Trochodendron_aralioides,Trochodendraceae,sp,angiosperm,W,E,1592,100,128.625,6,21.4375,2.0877,1.8659,0.2218,0.381,162.3090379,0.383980136,119.0478974,0.312461673
,,,,,,,,,,,,,,,,,,,,,,
