Species,Family,Growth_form,Leaf_habit,Leaf_type,Location,Biomes,Data contributor,ID,Rep,Leaf_area_leaf,Dry_mass_leaf,LTleaf,LMAleaf,LDleaf,Leaf_area_disc,Dry_mass_disc,LTdisc,LMAdisc,LDdisc
Betula alnoides,Betulaceae,T,D,single,Ailao_underground,STF,Chen Yajun,120,5,74.2,0.4502,0.178333333,60.67385445,0.340227221,0.889,0.0031,0.189333333,34.87064117,0.184175922
Betula alnoides,Betulaceae,T,D,single,Ailao_underground,STF,Chen Yajun,120,6,68.508,0.4268,0.184333333,62.29929351,0.337970851,0.889,0.0034,0.177333333,38.24521935,0.21566853
Rosa longicuspis,Rosaceae,L,E,compound,Ailao_underground,STF,Chen Yajun,121,1,8.168,0.1041,0.308333333,127.4485798,0.413346745,0.889,0.0077,0.230333333,86.61417323,0.376038379
Rosa longicuspis,Rosaceae,L,E,compound,Ailao_underground,STF,Chen Yajun,121,2,7.779,0.0598,0.234666667,76.87363414,0.327586509,0.889,0.0078,0.230333333,87.73903262,0.380921994
Rosa longicuspis,Rosaceae,L,E,compound,Ailao_underground,STF,Chen Yajun,121,3,9.031,0.0532,0.208333333,58.90820507,0.282759384,0.889,0.0092,0.275,103.4870641,0.376316597
Rosa longicuspis,Rosaceae,L,E,compound,Ailao_underground,STF,Chen Yajun,121,4,12.067,0.0918,0.225333333,76.07524654,0.337612041,0.889,0.0094,0.266333333,105.7367829,0.397009197
Rosa longicuspis,Rosaceae,L,E,compound,Ailao_underground,STF,Chen Yajun,121,5,9.545,0.0858,0.274666667,89.88999476,0.327269398,0.889,0.0102,0.267333333,114.735658,0.429185753
Rosa longicuspis,Rosaceae,L,E,compound,Ailao_underground,STF,Chen Yajun,121,6,8.001,0.0773,0.29,96.61292338,0.333148012,0.889,0.0107,0.247666667,120.359955,0.485975592
Symplocos sumuntia,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,122,1,16.668,0.1971,0.386333333,118.25054,0.306084228,0.889,0.0054,0.278,60.7424072,0.218497868
Symplocos sumuntia,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,122,2,23.302,0.2985,0.402333333,128.1005922,0.318394181,0.889,0.0071,0.289666667,79.86501687,0.275713522
Symplocos sumuntia,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,122,3,19.962,0.2897,0.413333333,145.1257389,0.351110659,0.889,0.0095,0.388333333,106.8616423,0.275180195
Symplocos sumuntia,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,122,4,22.652,0.2975,0.433333333,131.3349815,0.303080726,0.889,0.0088,0.381333333,98.98762655,0.259582937
Symplocos sumuntia,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,122,5,20.764,0.2758,0.418,132.8260451,0.317765658,0.889,0.0086,0.356333333,96.73790776,0.2714815
Symplocos sumuntia,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,122,6,28.838,0.3792,0.399333333,131.4931687,0.329281725,0.889,0.009,0.384,101.2373453,0.26363892
Ilex szechwanensis,Aquifoliaceae,T,E,single,Ailao_underground,STF,Chen Yajun,123,1,14.007,0.147,0.287333333,104.9475262,0.365246611,0.889,0.0073,0.304333333,82.11473566,0.269818409
Ilex szechwanensis,Aquifoliaceae,T,E,single,Ailao_underground,STF,Chen Yajun,123,2,14.068,0.1287,0.273666667,91.48421951,0.334290692,0.889,0.0075,0.301666667,84.36445444,0.279661175
Ilex szechwanensis,Aquifoliaceae,T,E,single,Ailao_underground,STF,Chen Yajun,123,3,13.563,0.1412,0.291666667,104.106761,0.356937466,0.889,0.007,0.291333333,78.74015748,0.27027514
Ilex szechwanensis,Aquifoliaceae,T,E,single,Ailao_underground,STF,Chen Yajun,123,4,12.936,0.1268,0.273333333,98.02102659,0.358613512,0.889,0.0079,0.299666667,88.86389201,0.296542465
