Species,Family,Growthform,EveDec,LeafType,Location,Garden,MAT,MAP,Biomes,Contributor,LMAdisc,LMAleaf,LDdisc,LDleaf,LDMCdisc,LDMCleaf,LTleaf,LTdisc,LAleaf
Litsea dilleniifolia,Lauraceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,101.16460972488404,99.01749053666667,0.333840764,0.37883889233333334,0.45997489416666665,0.3055048845,0.26088888883333333,0.285388889,345.67216666666667
Tetracera sarmentosa,Dilleniaceae,L,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,46.11039186181604,54.112626784999996,0.19112772466666667,0.23764105416666667,0.27655349,0.2599219111666667,0.2275,0.227111111,80.93266666666666
Strychnos angustiflora,Loganiaceae,L,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,64.79305063286557,65.78184290333334,0.3334360728333333,0.3597860315,0.36368639950000003,0.356806911,0.18311111116666667,0.18305555566666667,34.379
Mussaenda pubescens,Rubiaceae,L,D,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,64.39554725566038,67.24630393833333,0.24025362133333333,0.2706850768333333,0.3611401301666667,0.2931422578333333,0.24877777783333332,0.25344444433333335,55.96066666666667
Ficus langkokensis,Moraceae,T,D,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,63.998043876688286,57.653427289999996,0.2856873403333333,0.3004188758333333,0.4177563163333333,0.3631638363333333,0.19166666666666668,0.2120555555,37.42916666666667
Canarium album,Burseraceae,T,D,C,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,115.27597966867532,119.24162778333333,0.4895560763333333,0.5597297856666666,0.551746144,0.42012289383333334,0.21316666683333332,0.2219444445,61.85316666666667
Pittosporopsis kerrii,Icacinaceae,T,D,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,81.88569589156054,83.69357169666667,0.2947917555,0.31821163350000004,0.4165088285,0.37300220566666664,0.26205555566666666,0.26116666666666666,53.30416666666667
Ficus semicordata,Moraceae,T,D,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,29.614001668928854,37.05990829833333,0.140454185,0.19264031483333333,0.2409099565,0.23047031133333334,0.19316666666666665,0.1989444445,179.17666666666668
Harpullia cupanioides,Sapindaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,60.221761782637586,68.17942835666666,0.378158647,0.46012200183333335,0.41284310916666667,0.38434233316666666,0.14783333333333334,0.14999999983333334,105.8895
Dysoxylum lenticellatum,Meliaceae,T,D,C,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,83.6744610907508,95.53913200333334,0.28527076166666665,0.3379684511666667,0.353447853,0.33229382483333336,0.2826666666666667,0.276888889,59.588499999999996
